Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Run Wild Non-Alcoholic IPA,$11.99,Unknown,12 fl oz,65," Water, Organic Vienna Malt, Malted Barley, Oats, Hops, Wheat, Yeast",Wheat
Blue Moon Belgian White Ale (6-pk),$13.49,12 fl oz,12 fl oz (355 ml),168," Water, Barley Malt, Wheat, Yeast, Hop Extract, Oats, Orange Peel, Coriander.",Wheat
Modelo Especial 6pk,$10.49,12 fl oz,Unknown,Unknown,Unknown,Unknown
Hazy Little Thing 6 Pack (12 oz Cans),$9.99,Unknown,Unknown,Unknown,Unknown,Unknown
Alcohol Free Beer,$11.99,11.2 fl oz,11.2 fl oz,69," Water, Malted Barley, Hop Extract and Natural Flavor Malt Beverage With Natural Flavor",Unknown
0% Sauvignon Blanc,$14.49,25.4 fl oz,Unknown,Unknown," Dealcoholized Sauvignon Blanc Wine (94%), Grape Juice (6%), Sulfur Dioxide (Preservative).",Unknown
Founders All Day IPA,$19.99,Unknown,Unknown,Unknown,Unknown,Unknown
Hazy Little Thing 12 Pack (12 oz Cans),$18.99,Unknown,Unknown,Unknown,Unknown,Unknown
Premium Lager,$4.49,Unknown,Unknown,Unknown,Unknown,Unknown
Sip of Sunshine,$17.49,Unknown,Unknown,Unknown,Unknown,Unknown
Voodoo Ranger Imperial IPA,$2.99,19.2oz Can,Unknown,Unknown,Unknown,Unknown
Fat Tire Ale,$12.49,Unknown,Unknown,Unknown,Unknown,Unknown
Pale Ale 6 Pack (12oz Bottles),$10.99,Unknown,Unknown,Unknown,Unknown,Unknown
Dry Rose Cider,$15.99,12 fl oz,1 bottle (355 ml),160,"Hard Cider from Apples, Carbon Dioxide, Malic Acid, Sugar, Sulfites To Preserve Freshness, Organic Color Added.",Unknown
Czech Pilsner (6-pk),$10.49,11.2 fl oz,Unknown,Unknown,Unknown,Unknown
Golden Ale 4pk,$16.99,330 ml,Unknown,Unknown,Unknown,Unknown
