Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Butter Croissants 4 count,$7.49,9 oz,1 ea,330," Unbleached Enriched Flour (Wheat Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Butter (Cream), Water, Cane Sugar, Yeast, Whole Milk Powder, Eggs, Sat, Wheat Gluten, Ascorbic Acid, Food Enzymes (Xylanase, Amylase)., Contains A Bioengineered Food Ingredient.","Eggs, Milk and Dairy, Wheat"
Brown Butter Chocolate Chunk,$7.49,4 servings per container,1 ea,380," Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter, Sunflower Lecithin, Salt), Wheat Flour, Butter (Sweet Cream), Brown Sugar, Cane Sugar, Eggs (Eggs, Citric Acid), Non Fat Milk Powder (Non Fat Dry Milk, Whey Solids), Sea Salt, Baking Soda (Sodium Bicarbonate), Natural Flavor.","Eggs, Milk and Dairy, Wheat"
Chocolate Croissant 4 Count,$7.49,8 oz,1 ea,300," Wheat Flour, Butter (Cream), Water, Chocolate (Sugar, Cocoa Mass, Soy Lecithin [Emulsifier], Natural Vanilla Flavor), Sugar, Yeast, Whole Milk Powder, Wheat Gluten Salt, Food Enzymes, (Amylase, Hemicellulase), Ascorbic Acid (Dough Conditioner), Egg Wash (Egg, Water).","Eggs, Milk and Dairy, Soy, Wheat"
Mini Chocolate Chip Cookies 18 Count,$5.99,12 oz,1 ea,90," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Light Brown Sugar, Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Flavor), Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Sunflower Lecithin), Butter (Cream), Eggs, Sea Salt, Natural Vanilla Flavor, Baking Soda.","Eggs, Milk and Dairy, Soy, Wheat"
Blueberry Scone 4 Count,$7.49,12 oz,1 ea,410," Unbleached Enriched Wheat Flour (Wheat Flour, Niacin, Iron, Ascorbic Acid, Thiamine, Riboflavin, Amylase, Folic Acid), Butter (100% Cream), Water, Cane Sugar, Frozen Wild Blueberries, Skim Milk Powder, Baking Powder (Sodium Acid Pyrophosphate, Sodium Bicarbonate, Corn Starch, Monocalcium Phosphate Monohydrate, Calcium Sulfate), Canola Oil, Sea Salt (Sea Salt, Sodium Ferrocyanide).","Milk and Dairy, Wheat"
Cinnamon Rolls,$7.99,17.5 oz,1 roll with icing (99 g),320,"organic wheat flour, water, organic cane sugar, organic palm oil, baking powder (sodium acid pyrophosphate, baking soda), organic expeller-pressed sunflower oil, organic invert syrup, organic cinnamon, sea salt, organic tapioca starch, xanthan gum, organic wheat starch, organic rice extract, organic guar gum, organic locust bean gum, organic natural flavor.",Wheat
Chocolate Chip Cookies,$6.49,10 oz,1 ea,260," Unbleached, Unbromated Flour (Wheat Flour, Malted Barley Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Light Brown Sugar, Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Soy Lecithin [An Emulsifier], Natural Vanilla Flavor), Chocolate Chips (Sugar, Unsweetened Chocolate, Cocoa Butter, Dextrose, Sunflower Lecithin), Butter (Cream), Eggs, Sea Salt, Natural Vanilla Flavor, Baking Soda.","Eggs, Milk and Dairy, Soy, Wheat"
Traditional Crab Cake,$6.99,8 oz,Unknown,Unknown," Crabmeat, Mayonnaise (Soybean Oil, Water, Whole Eggs, Distilled Vinegar, Egg Yolks, Salt, Sugar, Lemon Juice Concentrate, Natural Flavor), Breadcrumbs (Wheat Flour, Salt, Soybean Oil, Yeast, Ammonium Bicarbonate, Sugar, Enzyme), Non-fat Dried Milk, Dried Egg, Celery Seed, Spices, Paprika, Distilled Vinegar, Mustard Seed, Salt, Mustard Bran, Turmeric, Natural Flavors, Parsley, Onion Powder, Molasses, Water, Sugar, Onions, Anchovies, Garlic, Cloves, Tamarind Extract, Chili Pepper Extract, Mustard Flour, Veganaise (Canola Oil, Filtered Water, Brown Rice Syrup, Apple Cider Vinegar, Soy Protein, Sea Salt, Mustard Flour, Lemon Juice Concentrate), Panko Breadcrumbs (Wheat Flour, Sugar, Salt & Yeast), Garnish (Parsley).","Eggs, Fish, Milk and Dairy, Shellfish, Soy, Wheat"
Refrigerated Whipped Topping,$3.39,7 oz,Unknown,Unknown,Unknown,Unknown
Brown Butter Chocolate Chunk Mini Cookie 18 Count,$7.49,Unknown,1 ea,90," Chocolate (Sugar, Unsweetened Chocolate, Cocoa Butter, Sunflower Lecithin, Salt), Wheat Flour, Butter (Sweet Cream), Brown Sugar, Cane Sugar, Eggs (Eggs, Citric Acid), Non Fat Milk Powder (Non-fat Dry Milk, Whey Solids), Sea Salt, Baking Soda (Sodium Bicarbonate), Natural Flavor","Eggs, Milk and Dairy, Wheat"
