Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Frozen Wild-Caught Seafood Value Pack,$28.99,8 servings per container,4 oz (113 g),150,Sockeye Salmon,Fish
Atlantic Salmon Portion,$7.49,Unknown,Unknown,Unknown,Unknown,Unknown
Chilean Sea Bass Fillet,$29.99,1 lb,Unknown,Unknown, Chilean Sea Bass Fillet.,Fish
Peeled Deveined White Shrimp 26-30 Count,$13.99,1 lb,3 oz (85 g),101,Shrimp,Shellfish
Atlantic Cod Fillet,$14.21,1 lb,3 oz (85 g),70,Cod,Fish
Halibut Fillet,$27.99,1 lb,3 oz (85 g),77,Halibut,Fish
Wild-Caught Cod Fillets,$24.99,8 servings per container,4 oz (113 g),90, Cod.,Fish
Easy Peel White Shrimp 8-12 Count,$17.99,1 lb,3 oz (85 g),60,Shrimp,Shellfish
Alaskan Sockeye Salmon Fillet,$19.99,1 lb,3 oz (85 g),111,Sockeye Salmon,Fish
King Salmon Fillet,$39.99,1 lb,3 oz (85 g),121,Salmon,Fish
King Salmon Fillet,$29.99,1 lb,Unknown,Unknown,King Salmon Fillet,Fish
Cooked White Shrimp 16-20 Count,$18.99,1 lb,Unknown,Unknown, Shrimp.,Shellfish
Arctic Char Fillet,$14.99,1 lb,3 oz (85 g),177,Arctic Char,Fish
Whole Branzini,$14.16,1 lb,3 oz (85 g),82,Branzino Fish,Fish
Tilapia Fillet,$16.99,8 servings per container,4 oz (113 g),110,Unknown,Unknown
Whole Red Snapper,$16.99,1 lb,3 oz (85 g),85,Red Snapper,Fish
Swordfish Steak,$13.99,1 lb,3 oz (85 g),122,Swordfish,Fish
Atlantic Salmon Steak,$13.99,1 lb,3 oz (85 g),177,Salmon,Fish
New York Style Nova Lox,$11.32,2 servings per container,2 oz (57 g),130," Atlantic Salmon, Salt, Hardwood Smoke",Fish
Lobster Meat With Luke's Secret Seasoning,$23.60,2 servings per container,4 oz (112 g),110," Lobster, Water, Seasoning Packet (Spices, Including Celery Seed Powder, Sea Salt, Garlic Powder), Salt., Contains: Crustacean Shellfish (Lobster).",Shellfish
Smoked Sockeye Salmon,$11.99,2 servings per container,2 oz (57 g),90," Sockeye Salmon, Salt, Cane Sugar, Spices, Fruitwood and Hardwood Smoke",Fish
Alaska Sablefish Fillet,$16.99,1 lb,3 oz (85 g),70,Black Cod Sable Fillet,Fish
Cooked Dungeness Crab Clusters,$15.99,1 lb,1 crab (163 g),140,Dungeness Crab,Shellfish
Norwegian Smoked Salmon,$9.49,2 servings per container,2 oz (56 g),90," Farm Raised Atlantic Salmon, Cold Smoke from Beechwood",Fish
Peeled & Deveined Frozen Key West Pink Shrimp,$9.99,3 servings per container,4 oz (113 g),100, Shrimp.,Shellfish
Traditional Scottish Style Smoked Salmon,$11.32,2 servings per container,2 oz (57 g),130," Atlantic Salmon, Salt, Hardwood Smoke",Fish
Lobster Tail 4 Ounce,$10.99,Unknown,3 oz (85 g),65, Lobster Tail.,Shellfish
Beer Battered Cod Fillets,$6.99,2.5 servings per container,2 fillets (142 g),220,"cod, wheat flour, water, cornstarch, highly refined soybean oil, salt, garlic powder, onion powder, corn maltodextrin, yellow corn flour, tapioca dextrin, dextrose, leavening (sodium acid pyrophosphate, sodium bicarbonate), cane sugar, beer (malted barley, rice, water, hops, yeast), expeller pressed sunflower seed oil, beer (malted barley, hops, yeast), ground white pepper.","Fish, Wheat, Soy"
Coho Salmon Fillet,$14.99,1 lb,4 oz (113 g),136,Salmon,Fish
Smoked Atlantic Salmon,$19.99,4 servings per container,2 oz (57 g),120," Atlantic Salmon (Salmo Salar)(Color Added Through Feed), Salt, Cane Sugar, Black Pepper and Dill.",Fish
Atlantic Blue Point Oysters,$1.99,Unknown,6 medium oysters (84 g),135,Oysters,Unknown
Yellowfin Tuna Steak,$29.99,1 lb,3 oz (85 g),93,Tuna,Fish
Norwegian Classic Roasted Salmon,$8.32,2 servings per container,2 oz (57 g),120," Farm-raised Atlantic Salmon, Salt, Hot Smoke from Beechwood",Fish
Smoked Norwegian Salmon,$12.21,2 servings per container,2 thin slices (50 g),110,"Sustainable Farmed Norwegian Atlantic Salmon, Salt, Sugar, Celery, Oakwood & Applewood Smoked",Fish
Big Eye Tuna Steak,$29.99,1 lb,3 oz (85 g),93,Tuna,Fish
Lightly Breaded Fish Sticks,$9.99,9 servings per container,5 sticks (105 g),230," Pollock, Highly Refined Soybean Oil, Wheat Flour, Water, Sunflower Seed Oil, Salt, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Modified Cornstarch, Dextrose, Yeast, Cornstarch, Ascorbic Acid (Dough Conditioner), Guar Gum, Cane Sugar†, Pea Protein Isolate, Spice Extractives, Methylcellulose.","Fish, Wheat, Soy"
Cooked White Shrimp 13-15 Count,$21.99,1 lb,3 oz (85 g),101,Cooked White Shrimp,Shellfish
King Salmon Fillet,$39.99,1 lb,3 oz (85 g),121,Salmon,Fish
Blue Catfish Fillet,$9.99,1 lb,3 ounce (cooked) (85 g),122,Catfish,Fish
Sea Scallops 10-20 Count,$29.99,1 lb,3 oz (85 g),59,Sea Scallops,Unknown
Uncooked - Shell On Frozen Key West Pink Shrimp,$11.99,3 servings per container,4 oz (113 g),100, Shrimp.,Shellfish
Signature Style Kendall Brooke Smoked Atlantic Salmon,$11.99,Unknown,Unknown,Unknown,Unknown,Unknown
Breaded Fish Fillets,$4.99,2.5 servings per container,2 fillets (130 g),280," Pollock, Water, Highly Refined Soybean Oil, Wheat Flour, Sunflower Seed Oil, Salt, Distilled White Vinegar, Modified Cornstarch, Yeast, Cornstarch, Cane Sugar†, Guar Gum, Spice Extractives, Pea Protein Isolate, Leavening (Sodium Acid Pyrophosphate, Sodium Bicarbonate), Methylcellulose,","Fish, Wheat, Soy"
Atlantic Cod Fillet,$13.99,1 lb,3 oz (85 g),70,Cod,Fish
Whole Black Bass,$9.99,1 lb,3 oz (85 g),82,Black Sea Bass,Fish
Thick Cut Cold Smoked Salmon,$9.49,2 servings per container,2 oz (56 g),100," Farm Raised Atlantic Salmon, Salt, Cold Smoke from Beechwood",Fish
Coho Salmon Fillet,$14.99,1 lb,4 oz (113 g),136,Salmon,Fish
Lump Crab Cakes,$10.99,Unknown,Unknown,Unknown,Unknown,Unknown
Lobster Tail 3 Ounce,$9.99,Unknown,3 oz (85 g),76,Lobster Tails,Shellfish
Shrimp Cocktail,$10.99,2 servings per container,4 oz (113 g),130,"Shrimp  Responsibly Farmed Tail On Shrimp, Salt.",Shellfish
Whole Octopus,$12.99,1 lb,3 oz (85 g),70,Octopus,Unknown
