Product,Price,Amount,Serving Size,Calories,Ingredients,Allergens
Original Oatmilk,$5.29,64 fl oz,1 cup (240 ml),120," Oat Base (Water, Oats)., Contains 2% or Less of: Low Erucic Acid Rapeseed Oil, Dipotassium Phosphate, Calcium Carbonate, Tricalcium Phosphate, Sea Salt, Dicalcium Phosphate, Riboflavin, Vitamin A, Vitamin D2, Vitamin B12.",Unknown
Coconut Water,$3.79,33.8 fl oz,8 fl oz (240 ml),50, Coconut Water.,Tree Nuts
Sparkling Water Case - Grapefruit,$6.49,144 fl oz,1 can,0," Only Carbonated Water, Naturally Essenced*.",Unknown
Spring Water (1 L),$3.19,33.8 fl oz,12 oz,0,Contents: Mountain Valley Spring Water,Unknown
Organic 100% Orange Juice No Pulp (Not From Concentrate),$5.77,59 oz,5 oz (240 ml),110," Organic Orange Juice (Organic Orange Juice, Organic Orange Oil).",Unknown
Spindrift® Lemon Unsweetened Sparkling Water,$6.99,96 fl oz,1 can (355 ml),3," Carbonated Water, Lemon Juice.",Unknown
Coconut Water 4 Pack,$14.99,4 servings per container,1 bottle (355 ml),90, Organic Coconut Water*,Tree Nuts
LaCroix Tangerine Sparkling Water,$6.49,12 fl oz,1 can,0," Only Carbonated Water, Naturally Essence*.",Unknown
Organic 100% Orange Juice No Pulp (Not From Concentrate),$8.99,89 fl oz,8 fl oz (240 ml),110,Unknown,Unknown
Organic 100% Orange - Peach - Mango Juice (From Concentrate),$4.17,59 fl oz,Unknown,Unknown," Filtered Water, Organic Orange Juice Concentrate, Organic Apple Juice Concentrate, Organic Peach Puree, Organic Pineapple Juice Concentrate, Organic White Grape Juice Concentrate, Organic Mango Puree, Ascorbic Acid (Vitamin C), Organic Natural Flavor",Unknown
Lime Sparkling Water,$4.49,12 fl oz,1 can (355 ml),0," Carbonated Water, Natural Flavors.",Unknown
Black Cherry Sparkling Water 12 pk,$4.49,12 servings per container,1 can (355 ml),0," Carbonated Water, Natural Flavors.",Unknown
